company_id,event_date,event_type,detail,source,source_url
aleph-lab,2025-10-25,yc_listed,Listed in YC directory (Fall 2025),yc,https://www.ycombinator.com/companies/aleph-lab
aleph-solutions-alephee,2021-07-01,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/aleph-solutions-alephee
alex,2024-10-12,yc_listed,Listed in YC directory (Fall 2024),yc,https://www.ycombinator.com/companies/alex
alex-com,2023-12-20,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/alex-com
alfie,2022-02-21,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/alfie
alga-biosciences,2022-02-23,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/alga-biosciences
algofi,2021-07-28,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/algofi
algotest,2022-07-25,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/algotest
algouniversity,2021-07-01,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/algouniversity
algoviral,2021-06-23,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/algoviral
alguna,2023-08-03,yc_listed,Listed in YC directory (Summer 2023),yc,https://www.ycombinator.com/companies/alguna
alice-tech,2025-01-15,yc_listed,Listed in YC directory (Winter 2025),yc,https://www.ycombinator.com/companies/alice-tech
alima,2022-01-20,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/alima
alinea,2021-02-12,yc_listed,Listed in YC directory (Winter 2021),yc,https://www.ycombinator.com/companies/alinea
alixia,2022-03-25,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/alixia
alixia,2024-07-23,funding,"Form D filed ($1,825,445 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/2031477/000203147724000001/primary_doc.xml
alkali,2025-05-12,yc_listed,Listed in YC directory (Spring 2025),yc,https://www.ycombinator.com/companies/alkali
alkera-ai,2026-07-10,yc_listed,Listed in YC directory (Summer 2026),yc,https://www.ycombinator.com/companies/alkera-ai
alloovium,2026-07-09,yc_listed,Listed in YC directory (Summer 2026),yc,https://www.ycombinator.com/companies/alloovium
allowance,2026-05-18,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/allowance
alloy,2023-02-23,yc_listed,Listed in YC directory (Winter 2023),yc,https://www.ycombinator.com/companies/alloy
alltruists,2021-03-17,yc_listed,Listed in YC directory (Winter 2021),yc,https://www.ycombinator.com/companies/alltruists
allus-ai,2025-10-22,yc_listed,Listed in YC directory (Fall 2025),yc,https://www.ycombinator.com/companies/allus-ai
alma,2022-07-13,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/alma
almond,2022-07-21,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/almond
almond-2,2025-04-23,yc_listed,Listed in YC directory (Spring 2025),yc,https://www.ycombinator.com/companies/almond-2
alokai,2021-03-26,yc_listed,Listed in YC directory (Winter 2021),yc,https://www.ycombinator.com/companies/alokai
alpas,2021-05-26,yc_listed,Listed in YC directory (Winter 2021),yc,https://www.ycombinator.com/companies/alpas
alpha-research,2025-05-18,yc_listed,Listed in YC directory (Spring 2025),yc,https://www.ycombinator.com/companies/alpha-research
alphawatch-ai,2023-01-31,yc_listed,Listed in YC directory (Winter 2023),yc,https://www.ycombinator.com/companies/alphawatch-ai
alt-tex,2022-08-04,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/alt-tex
alt-x,2025-10-22,yc_listed,Listed in YC directory (Winter 2026),yc,https://www.ycombinator.com/companies/alt-x
alter,2025-07-14,yc_listed,Listed in YC directory (Summer 2025),yc,https://www.ycombinator.com/companies/alter
alterya,2022-06-04,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/alterya
altrina,2025-01-06,yc_listed,Listed in YC directory (Winter 2025),yc,https://www.ycombinator.com/companies/altrina
altur,2025-06-22,yc_listed,Listed in YC directory (Summer 2025),yc,https://www.ycombinator.com/companies/altur
aluna,2024-08-15,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/aluna
amal-invest,2022-01-31,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/amal-invest
amboras,2026-03-24,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/amboras
ambral,2025-07-30,yc_listed,Listed in YC directory (Summer 2025),yc,https://www.ycombinator.com/companies/ambral
amby-health,2025-02-02,yc_listed,Listed in YC directory (Winter 2025),yc,https://www.ycombinator.com/companies/amby-health
amenli,2021-07-06,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/amenli
amera,2025-11-05,yc_listed,Listed in YC directory (Fall 2025),yc,https://www.ycombinator.com/companies/amera
amika,2025-10-06,yc_listed,Listed in YC directory (Fall 2025),yc,https://www.ycombinator.com/companies/amika
amiloz,2022-03-06,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/amiloz
